Audacity,AudioVideo,audacity,-,-,-,org.audacityteam.Audacity,-
kdenlive,AudioVideo,kdenlive,-,-,-,kdenlive,-
kodi,AudioVideo,kodi,-,-,-,kodi,-
lmms,AudioVideo,lmms,-,-,-,lmms,-
obs-studio,AudioVideo,obs-studio,-,-,-,obs-studio,-
shotcut,AudioVideo,shotcut,-,-,-,shotcut,-
smplayer,AudioVideo,smplayer,-,-,-,smplayer,-
vlc,AudioVideo,vlc,-,-,-,vlc,-
geany,Development,geany,-,-,-,geany,-
kate,Development,kate,-,-,-,kate,-
kdevelop,Development,kdevelop,-,-,-,kdevelop,-
monodevelop,Development,monodevelop,-,-,-,monodevelop,-
python3-spyder,Development,python3-spyder,-,-,-,python3-spyder,-
rstudio,Development,rstudio,-,-,-,rstudio,-
libreoffice-math,Education,libreoffice-math,-,-,-,libreoffice-math,-
lutris,Game,lutris,-,-,-,lutris,-
steam,Game,steam,-,-,-,steam,-
gimp,Graphics,gimp,-,-,-,gimp,-
inkscape,Graphics,inkscape,-,-,-,inkscape,-
kolourpaint,Graphics,kolourpaint,-,-,-,kolourpaint,-
krita,Graphics,krita,-,-,-,krita,-
okular,Graphics,okular,-,-,-,okular,-
skanlite,Graphics,skanlite,-,-,-,skanlite,-
chromium,Network,chromium,-,-,-,chromium,-
falkon,Network,falkon,-,-,-,falkon,-
firefox,Network,firefox,-,-,-,firefox,-
libreoffice,Office,libreoffice,-,-,-,libreoffice,-
onlyoffice,Office,onlyoffice,-,-,-,onlyoffice,-
btop,System,btop,-,-,-,btop,-
dolphin,System,dolphin,-,-,-,dolphin,-
nautilus,System,nautilus,-,-,-,nautilus,-
thunar,System,thunar,-,-,-,thunar,-
nemo,System,nemo,-,-,-,nemo,-
fish,System,fish,-,-,-,fish,-
zsh,System,zsh,-,-,-,zsh,-
konsole,System,konsole,-,-,-,konsole,-
gnome-terminal,System,gnome-terminal,-,-,-,gnome-terminal,-
yakuake,System,yakuake,-,-,-,yakuake,-
timeshift,System,timeshift,-,-,-,timeshift,-
virtualbox,System,virtualbox,-,-,-,virtualbox,-
ark,Utility,ark,-,-,-,ark,-
bitwarden,Utility,bitwarden,-,-,-,bitwarden,-
bottles,Utility,bottles,-,-,-,bottles,-
corectrl,Utility,corectrl,-,-,-,corectrl,-
mc,Utility,mc,-,-,-,mc,-
spectacle,Utility,spectacle,-,-,-,spectacle,-
